RCDTS,District Name/ School Name,City,demSCHOOLlow,ISAT13,PSAE13,ACT13,LATITUDE,LONGITUDE
560992020222019,Elizabeth Eichelberger Elem Sch,Plainfield,18.50,71.4,,,41.657036,-88.16506
390740250261002,Monticello Middle School,Monticello,18.50,69.6,,,40.025063,-88.559409
540920050260002,Catlin High School,Catlin,18.50,,72.9,21,40.065075,-87.711445
240473080262012,Churchill Elem School,Oswego,18.70,78.8,,,41.694739,-88.298942
050160540042002,Buzz Aldrin Elem School,Schaumburg,18.70,71.4,,,42.01373,-88.096002
340491180262005,Robert Crown School,Wauconda,18.80,69.5,,,42.277357411,-88.131816359
410570020260001,Triad High School,Troy,18.80,,65.6,21.4,38.717215,-89.855751
56099033C042006,Luther J Schilling School,Homer Glen,18.90,74.2,,,41.596494,-87.977507
310453020262008,Kaneland John Stewart Elem Sch,Elburn,18.90,68.9,,,41.899397,-88.45898
240473080262016,Hunt Club Elem,Oswego,19.00,72.5,,,41.652933,-88.37516
050160310022002,Henry Winkelman Elem School,Glenview,19.00,71.7,,,42.118054,-87.858516
170640020260003,LeRoy High School,Le Roy,19.00,,63.5,19.9,40.347189,-88.755898
410570070262010,Woodland Elementary School,Edwardsville,19.10,78.9,,,38.805499,-89.969035
560990920022005,Ludwig Elem School,Lockport,19.10,75.9,,,41.605118,-88.047313
170640070262001,Lexington Elem School,Lexington,19.10,72.8,,,40.644305,-88.780934
560991220022013,Oster-Oakview  School,New Lenox,19.10,68.9,,,41.501912,-87.965825
240473080262009,Homestead Elementary School,Aurora,19.20,81.6,,,41.713688,-88.249014
090101970042002,Prairieview-Ogden South Elem,Ogden,19.20,76.2,,,40.115064,-87.958712
560990920022004,Reed Elem School,Homer Glen,19.20,69,,,41.627916,-87.983472
190222000262007,Longfellow Elem School,Wheaton,19.40,90.8,,,41.867594,-88.102828
310450460222048,Prairieview Elementary School,Bartlett,19.40,78.4,,,41.957173,-88.171406
340491170160001,Antioch Comm High School,Antioch,19.40,,70,20.8,42.471309,-88.093541
560992020221005,Drauden Point Middle School,Plainfield,19.50,68,,,41.555736,-88.228972
240471150262009,Autumn Creek Elem Sch,Yorkville,19.50,65.4,,,41.669383,-88.421614
050160540041001,Jane Addams JHS,Schaumburg,19.60,75.8,,,42.012517,-88.119234
080892030261001,Orangeville Jr High School,Orangeville,19.60,67.5,,,42.467927,-89.642514
500822030170001,O Fallon High School,O Fallon,19.60,,72.3,23.3,38.585977,-89.900321
530907090262001,Grundy Elem School,Morton,19.70,87.9,,,40.599369,-89.459355
090100030262003,Lincoln Trail Elem School,Mahomet,19.70,75.6,,,40.198823,-88.407711
510840050262003,Ball Elementary School,Chatham,19.80,74.6,,,39.671671,-89.652518
