RCDTS,School,City,demSCHOOLlow,ISAT13,PSAE13,ACT13,LATITUDE,LONGITUDE
490810400222021,Roosevelt Elem School,Moline,36.50,61.6,,,41.490421,-90.485465
150162990252135,Clissold Elem School,Chicago,36.50,61.5,,,41.694313,-87.680515
110213020261001,Villa Grove Jr High School,Villa Grove,36.50,47.4,,,39.868899,-88.16047
310450460221009,Kenyon Woods Middle School,South Elgin,36.60,68.1,,,42.006292,-88.283169
260621850261001,Macomb Junior High School,Macomb,36.60,66.6,,,40.440679,-90.676025
380652000262001,Greenview Elementary School,Greenview,36.60,51.4,,,40.079482,-89.738857
500822010170001,Belleville High School-East,Belleville,36.60,,56.4,19.8,38.520875,-89.949478
300731010160001,Pinckneyville Comm High School,Pinckneyville,36.60,,47,18.6,38.0796,-89.373259
280372300260002,Wethersfield Jr/Sr High School,Kewanee,36.80,69.3,40.8,19.7,41.227523,-89.924561
11012002C261002,Marshall Jr High School,Marshall,36.80,68.2,,,39.396177,-87.69934
310453000262002,Liberty Elementary School,Carpentersville,36.80,67.2,,,42.123828,-88.324679
320380040260001,Central High School,Clifton,36.80,,56.5,20.7,40.958534,-87.920244
110180770260001,Cumberland High School,Toledo,36.80,,54.2,19.2,39.257191,-88.194476
11087005A262003,Stewardson-Strasburg Elem School,Strasburg,36.90,65.9,,,39.301055,-88.618035
500820090260003,Lebanon High School,Lebanon,36.90,62.5,53.8,21.9,38.601071,-89.810455
100680220260001,Nokomis Jr/Sr High Sch,Nokomis,36.90,53.7,57.3,19.4,39.305105,-89.293739
260621850260001,Macomb Senior High School,Macomb,36.90,,64.9,22.3,40.440679,-90.676025
280063400260001,Bureau Valley High School,Manlius,36.90,,55.4,21.1,41.454613,-89.681812
