ZipCode,FY11Total,FY13Total,Chge11num,PChg2011,Chg2011,PChg2011
62984,"$496,355 ","$566,977 ",70622,14.2,"$70,622.00",14.20%
61858,"$522,942 ","$597,547 ",74605,14.3,"$74,605.00",14.30%
62353,"$641,700 ","$733,187 ",91487,14.3,"$91,487.00",14.30%
60661,"$3,218,326 ","$3,678,985 ",460659,14.3,"$460,659.00",14.30%
62875,"$204,337 ","$233,968 ",29631,14.5,"$29,631.00",14.50%
60546,"$4,889,212 ","$5,596,931 ",707719,14.5,"$707,719.00",14.50%
60613,"$6,075,803 ","$6,958,925 ",883122,14.5,"$883,122.00",14.50%
62014,"$412,178 ","$474,054 ",61876,15,"$61,876.00",15.00%
62207,"$1,366,919 ","$1,572,119 ",205200,15,"$205,200.00",15.00%
62239,"$488,750 ","$562,376 ",73626,15.1,"$73,626.00",15.10%
62341,"$550,574 ","$633,979 ",83405,15.1,"$83,405.00",15.10%
60115,"$5,148,854 ","$5,925,633 ",776779,15.1,"$776,779.00",15.10%
60164,"$6,557,883 ","$7,550,212 ",992329,15.1,"$992,329.00",15.10%
61547,"$360,662 ","$415,627 ",54965,15.2,"$54,965.00",15.20%
60447,"$2,486,811 ","$2,864,379 ",377568,15.2,"$377,568.00",15.20%
60606,"$11,070,800 ","$12,758,012 ",1687212,15.2,"$1,687,212.00",15.20%
62044,"$135,498 ","$156,333 ",20835,15.4,"$20,835.00",15.40%
60612,"$10,687,443 ","$12,346,443 ",1659000,15.5,"$1,659,000.00",15.50%
62033,"$712,691 ","$823,945 ",111254,15.6,"$111,254.00",15.60%
61764,"$2,405,297 ","$2,780,864 ",375567,15.6,"$375,567.00",15.60%
62316,"$97,469 ","$112,767 ",15298,15.7,"$15,298.00",15.70%
62901,"$1,950,730 ","$2,257,994 ",307264,15.8,"$307,264.00",15.80%
61080,"$4,469,834 ","$5,186,978 ",717144,16,"$717,144.00",16.00%
60647,"$20,822,749 ","$24,148,082 ",3325333,16,"$3,325,333.00",16.00%
