FID_,ZCTA5CE10,GEOID10,CLASSFP10,MTFCC10,FUNCSTAT10,ALAND10,AWATER10,INTPTLAT10,INTPTLON10,zips,sum_Trump,count_Trump,sum_Cruz,count_Cruz,sum_rubio,count_rubio,sum_Kasich,count_Kasich,Most_Sum
,60148,60148,B5,G6350,S,35075029.000000000000000,690760.000000000000000,+41.8735714,-088.0207665,60148,0.000000000000000,0.000000000000000,2945.000000000000000,34.000000000000000,190.000000000000000,3.000000000000000,0.000000000000000,0.000000000000000,Cruz
,60156,60156,B5,G6350,S,29297899.000000000000000,593289.000000000000000,+42.2036126,-088.3207012,60156,0.000000000000000,0.000000000000000,1136.000000000000000,13.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,Cruz
,60157,60157,B5,G6350,S,3845277.000000000000000,96485.000000000000000,+41.9752521,-088.0560535,60157,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,None
,60169,60169,B5,G6350,S,19903845.000000000000000,225858.000000000000000,+42.0508698,-088.1166149,60169,1008.450000000000000,5.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,Trump
,60185,60185,B5,G6350,S,78598000.000000000000000,2060725.000000000000000,+41.8966908,-088.2110144,60185,0.000000000000000,0.000000000000000,650.000000000000000,14.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,Cruz
,60187,60187,B5,G6350,S,17153999.000000000000000,242109.000000000000000,+41.8727197,-088.1124421,60187,0.000000000000000,0.000000000000000,4000.000000000000000,22.000000000000000,950.000000000000000,7.000000000000000,0.000000000000000,0.000000000000000,Cruz
,60118,60118,B5,G6350,S,52108407.000000000000000,1631187.000000000000000,+42.1062587,-088.3043825,60118,0.000000000000000,0.000000000000000,1600.000000000000000,25.000000000000000,210.000000000000000,1.000000000000000,0.000000000000000,0.000000000000000,Cruz
,60119,60119,B5,G6350,S,130663866.000000000000000,12477.000000000000000,+41.8515325,-088.4764505,60119,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,None
,60120,60120,B5,G6350,S,42841864.000000000000000,960527.000000000000000,+42.0344924,-088.2383958,60120,0.000000000000000,0.000000000000000,150.000000000000000,2.000000000000000,19620.000000000000000,22.000000000000000,0.000000000000000,0.000000000000000,Rubio
,60123,60123,B5,G6350,S,35624956.000000000000000,698898.000000000000000,+42.0406436,-088.3112962,60123,0.000000000000000,0.000000000000000,1425.500000000000000,26.000000000000000,425.000000000000000,9.000000000000000,5400.000000000000000,2.000000000000000,Kasich
,60124,60124,B5,G6350,S,99065543.000000000000000,173659.000000000000000,+42.0201685,-088.4006865,60124,0.000000000000000,0.000000000000000,600.000000000000000,4.000000000000000,460.000000000000000,4.000000000000000,0.000000000000000,0.000000000000000,Cruz
,60133,60133,B5,G6350,S,21022473.000000000000000,779297.000000000000000,+41.9778424,-088.1431991,60133,0.000000000000000,0.000000000000000,105.000000000000000,9.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,Cruz
,60134,60134,B5,G6350,S,39828411.000000000000000,628324.000000000000000,+41.8783429,-088.3420665,60134,0.000000000000000,0.000000000000000,470.000000000000000,19.000000000000000,3500.000000000000000,13.000000000000000,250.000000000000000,1.000000000000000,Rubio
,60136,60136,B5,G6350,S,18028328.000000000000000,4822.000000000000000,+42.1054377,-088.3805709,60136,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,None
,60137,60137,B5,G6350,S,28022267.000000000000000,591139.000000000000000,+41.8652132,-088.0614791,60137,250.000000000000000,1.000000000000000,1325.000000000000000,27.000000000000000,9440.000000000000000,16.000000000000000,500.000000000000000,1.000000000000000,Rubio
,60139,60139,B5,G6350,S,14377660.000000000000000,362597.000000000000000,+41.9188772,-088.0780946,60139,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,None
,60140,60140,B5,G6350,S,212637397.000000000000000,68872.000000000000000,+42.0790400,-088.5132083,60140,0.000000000000000,0.000000000000000,270.000000000000000,7.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,Cruz
,60142,60142,B5,G6350,S,104008202.000000000000000,118357.000000000000000,+42.1739541,-088.4445954,60142,0.000000000000000,0.000000000000000,3630.000000000000000,41.000000000000000,500.000000000000000,1.000000000000000,0.000000000000000,0.000000000000000,Cruz
,60143,60143,B5,G6350,S,17824224.000000000000000,703977.000000000000000,+41.9753349,-088.0224640,60143,800.000000000000000,1.000000000000000,380.000000000000000,9.000000000000000,4950.000000000000000,9.000000000000000,0.000000000000000,0.000000000000000,Rubio
,60172,60172,B5,G6350,S,18001300.000000000000000,363125.000000000000000,+41.9798501,-088.0896278,60172,0.000000000000000,0.000000000000000,200.000000000000000,6.000000000000000,1250.000000000000000,2.000000000000000,0.000000000000000,0.000000000000000,Rubio
,60173,60173,B5,G6350,S,15859884.000000000000000,9786.000000000000000,+42.0515564,-088.0555224,60173,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,None
,60174,60174,B5,G6350,S,36278286.000000000000000,1140365.000000000000000,+41.9306520,-088.2986141,60174,0.000000000000000,0.000000000000000,737.000000000000000,13.000000000000000,8835.000000000000000,11.000000000000000,0.000000000000000,0.000000000000000,Rubio
,60175,60175,B5,G6350,S,88659381.000000000000000,724214.000000000000000,+41.9481876,-088.3887014,60175,1084.559999999999900,2.000000000000000,3945.000000000000000,37.000000000000000,1150.000000000000000,5.000000000000000,2700.000000000000000,1.000000000000000,Cruz
,60016,60016,B5,G6350,S,27516952.000000000000000,251245.000000000000000,+42.0495730,-087.8950027,60016,0.000000000000000,0.000000000000000,400.000000000000000,6.000000000000000,385.000000000000000,7.000000000000000,0.000000000000000,0.000000000000000,Cruz
,60018,60018,B5,G6350,S,42345819.000000000000000,656137.000000000000000,+41.9793883,-087.8943580,60018,0.000000000000000,0.000000000000000,470.000000000000000,13.000000000000000,250.000000000000000,1.000000000000000,0.000000000000000,0.000000000000000,Cruz
,60020,60020,B5,G6350,S,11837888.000000000000000,3301455.000000000000000,+42.3890541,-088.1733464,60020,0.000000000000000,0.000000000000000,450.000000000000000,6.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,Cruz
,60030,60030,B5,G6350,S,66377036.000000000000000,3311344.000000000000000,+42.3370784,-088.0443262,60030,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,2700.000000000000000,3.000000000000000,0.000000000000000,0.000000000000000,Rubio
,60031,60031,B5,G6350,S,48850485.000000000000000,883764.000000000000000,+42.3735738,-087.9393527,60031,0.000000000000000,0.000000000000000,726.000000000000000,9.000000000000000,710.000000000000000,10.000000000000000,0.000000000000000,0.000000000000000,Cruz
,60041,60041,B5,G6350,S,24855093.000000000000000,3945821.000000000000000,+42.3645524,-088.1511204,60041,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,None
,60042,60042,B5,G6350,S,11864863.000000000000000,1361743.000000000000000,+42.2782063,-088.1966269,60042,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,None
,60046,60046,B5,G6350,S,59309906.000000000000000,8032146.000000000000000,+42.4163231,-088.0591192,60046,0.000000000000000,0.000000000000000,911.000000000000000,20.000000000000000,50.000000000000000,1.000000000000000,3700.000000000000000,3.000000000000000,Kasich
,60047,60047,B5,G6350,S,90322359.000000000000000,3564824.000000000000000,+42.2031343,-088.0442084,60047,677.490000000000010,3.000000000000000,576.000000000000000,4.000000000000000,8150.000000000000000,26.000000000000000,0.000000000000000,0.000000000000000,Rubio
,60048,60048,B5,G6350,S,71274156.000000000000000,1806457.000000000000000,+42.2954076,-087.9506111,60048,0.000000000000000,0.000000000000000,2929.000000000000000,40.000000000000000,375.000000000000000,3.000000000000000,250.000000000000000,1.000000000000000,Cruz
,60051,60051,B5,G6350,S,82806946.000000000000000,4105646.000000000000000,+42.3549097,-088.2291317,60051,0.000000000000000,0.000000000000000,910.000000000000000,7.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,Cruz
,60056,60056,B5,G6350,S,27840575.000000000000000,1196.000000000000000,+42.0671658,-087.9347190,60056,500.000000000000000,1.000000000000000,1036.000000000000000,5.000000000000000,2600.000000000000000,5.000000000000000,0.000000000000000,0.000000000000000,Rubio
,60060,60060,B5,G6350,S,60861013.000000000000000,3405287.000000000000000,+42.2701035,-088.0392919,60060,0.000000000000000,0.000000000000000,950.000000000000000,7.000000000000000,0.000000000000000,0.000000000000000,2700.000000000000000,3.000000000000000,Kasich
,60061,60061,B5,G6350,S,20633175.000000000000000,506554.000000000000000,+42.2349093,-087.9591350,60061,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,864.000000000000000,2.000000000000000,0.000000000000000,0.000000000000000,Rubio
,60067,60067,B5,G6350,S,35551415.000000000000000,160434.000000000000000,+42.1063235,-088.0643368,60067,300.000000000000000,1.000000000000000,3855.000000000000000,54.000000000000000,8579.000000000000000,10.000000000000000,2000.000000000000000,3.000000000000000,Rubio
,60188,60188,B5,G6350,S,26154276.000000000000000,808587.000000000000000,+41.9157372,-088.1294344,60188,0.000000000000000,0.000000000000000,330.000000000000000,8.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,Cruz
,60189,60189,B5,G6350,S,26387933.000000000000000,904534.000000000000000,+41.8406325,-088.1220238,60189,0.000000000000000,0.000000000000000,2260.000000000000000,20.000000000000000,2960.000000000000000,10.000000000000000,50.000000000000000,1.000000000000000,Rubio
,60190,60190,B5,G6350,S,12032127.000000000000000,200683.000000000000000,+41.8717839,-088.1570152,60190,0.000000000000000,0.000000000000000,315.000000000000000,6.000000000000000,0.000000000000000,0.000000000000000,1000.000000000000000,1.000000000000000,Kasich
,60191,60191,B5,G6350,S,14529911.000000000000000,347256.000000000000000,+41.9663062,-087.9808506,60191,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,624.000000000000000,4.000000000000000,0.000000000000000,0.000000000000000,Rubio
,60192,60192,B5,G6350,S,27328489.000000000000000,209339.000000000000000,+42.0632716,-088.2036616,60192,0.000000000000000,0.000000000000000,865.000000000000000,13.000000000000000,250.000000000000000,1.000000000000000,0.000000000000000,0.000000000000000,Cruz
,60193,60193,B5,G6350,S,23666067.000000000000000,75197.000000000000000,+42.0096662,-088.0966439,60193,0.000000000000000,0.000000000000000,1095.000000000000000,12.000000000000000,5400.000000000000000,5.000000000000000,750.000000000000000,2.000000000000000,Rubio
,60194,60194,B5,G6350,S,9378560.000000000000000,177884.000000000000000,+42.0348203,-088.1102851,60194,200.000000000000000,2.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,Trump
,60195,60195,B5,G6350,S,5113410.000000000000000,0.000000000000000,+42.0749620,-088.0862835,60195,0.000000000000000,0.000000000000000,472.000000000000000,5.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,Cruz
